NAME,MpG,PpG,RpG,ApG,P+R+A,PRA_Rank,TS%,USG%,VI,ORtg,DRtg
Jaylin Williams,20.5,7.5,5.6,2.6,15.7,235,0.583,16.0,9.3,115.4,98.3
Ousmane Dieng,22.9,8.8,4.2,2.5,15.5,239,0.547,17.7,7.9,109.8,113.6
Klay Thompson,22.0,11.9,2.3,1.4,15.5,239,0.542,22.8,6.1,104.1,115.4
Derrick Jones Jr.,26.9,11.3,3.0,1.2,15.5,239,0.625,16.3,5.1,125.2,112.9
Ayo Dosunmu,25.3,11.0,1.9,2.5,15.4,243,0.594,17.0,5.9,119.4,111.0
Aaron Wiggins,23.5,10.2,3.4,1.8,15.4,243,0.537,19.8,6.8,104.6,106.4
Dennis Schroder,23.3,9.0,2.1,4.2,15.3,245,0.496,19.6,7.4,104.0,113.4
Isaiah Joe,22.0,11.1,2.7,1.5,15.2,247,0.642,18.1,6.5,127.7,104.9
Herbert Jones,28.8,9.0,3.5,2.8,15.2,247,0.494,15.0,6.2,103.9,111.4
Harrison Barnes,26.9,10.2,2.9,2.1,15.1,249,0.594,14.9,5.9,121.3,112.8
Marcus Smart,28.4,9.4,2.8,2.9,15.1,249,0.544,15.6,6.0,108.8,110.6
Andersson Garcia,25.1,6.0,9.0,0.0,15.0,251,0.51,11.3,0.0,124.8,107.5
Zaccharie Risacher,24.0,10.0,3.7,1.3,15.0,251,0.536,17.8,6.1,105.8,110.2
Luke Kornet,21.2,6.8,6.2,1.9,14.9,253,0.687,10.7,8.1,157.0,105.8
Jake LaRavia,25.5,8.9,3.9,1.9,14.8,256,0.572,15.1,6.3,119.0,110.3
Luke Kennard,23.0,10.4,2.5,1.9,14.8,256,0.738,15.1,6.4,134.6,113.2
Kobe Brown,24.1,8.4,5.3,1.2,14.8,256,0.594,14.8,6.3,114.8,112.2
Sam Hauser,24.6,9.3,3.9,1.5,14.7,262,0.584,14.9,6.2,125.0,111.8
Jay Huff,20.9,9.4,3.9,1.4,14.7,262,0.592,17.7,7.1,115.5,109.7
Kris Dunn,27.5,7.8,3.3,3.7,14.7,262,0.6,12.7,6.6,119.4,110.6
Collin Murray-Boyles,22.3,7.8,5.0,2.0,14.7,262,0.605,14.5,7.7,124.9,105.1
Ryan Kalkbrenner,22.2,8.0,5.9,0.8,14.6,266,0.747,11.9,6.0,142.8,110.6
Cason Wallace,27.3,8.8,3.1,2.7,14.6,266,0.531,14.8,6.1,111.1,103.7
Tristan da Silva,23.8,9.3,3.7,1.5,14.4,268,0.571,15.9,6.3,114.2,111.0
Dylan Cardwell,21.2,5.4,7.7,1.2,14.3,271,0.602,10.6,6.9,131.4,102.7
Jordan Miller,21.1,9.4,2.9,2.0,14.3,271,0.626,18.1,7.2,124.3,115.7
Kadary Richmond,22.3,8.3,3.3,2.7,14.3,271,0.722,12.1,7.5,142.4,119.1
A.J. Green,29.5,9.8,2.5,1.9,14.2,273,0.611,13.3,4.9,117.0,116.3
Corey Kispert,20.5,10.0,2.5,1.7,14.2,273,0.594,18.9,6.8,115.9,116.7
Ronald Holland II,20.4,8.4,4.4,1.3,14.1,275,0.52,18.9,7.1,106.3,101.2
Terance Mann,24.8,7.5,3.2,3.2,13.9,277,0.571,13.5,6.9,120.2,113.9
Dominick Barlow,24.2,8.1,4.6,1.1,13.9,277,0.595,13.3,5.7,124.9,111.6
Jose Alvarado,21.9,7.9,2.8,3.1,13.8,280,0.558,15.7,7.5,113.4,113.8
Luguentz Dort,28.1,8.7,3.9,1.3,13.8,280,0.516,14.2,5.0,105.5,102.4
Jamal Shead,21.9,6.8,1.9,5.1,13.8,280,0.491,16.2,7.4,109.0,108.9
Nolan Traore,22.2,8.3,1.6,3.7,13.6,283,0.492,20.5,6.6,96.5,115.2
Kentavious Caldwell-Pope,21.3,8.4,2.5,2.7,13.6,283,0.533,17.6,7.2,108.9,115.9
Bruce Brown,25.0,7.5,3.9,2.2,13.6,283,0.543,14.0,6.4,112.7,109.9
Kyle Anderson,22.3,9.3,3.5,0.8,13.5,286,0.821,13.7,5.3,121.1,104.6
Kyle Anderson,20.1,7.1,3.3,3.1,13.5,286,0.565,14.7,8.3,121.7,112.8
Svi Mykhailiuk,23.4,9.1,2.5,1.9,13.5,286,0.623,14.4,6.0,121.8,122.7
Landry Shamet,22.8,10.0,1.8,1.5,13.3,290,0.62,16.0,5.3,126.8,112.2
Bogdan Bogdanovic,21.6,7.7,2.9,2.7,13.3,290,0.5,18.5,7.3,102.2,109.2
Isaac Okoro,26.9,9.0,2.7,1.6,13.3,290,0.566,13.6,5.0,117.3,113.9
Ziaire Williams,22.9,9.7,2.5,1.0,13.2,293,0.58,17.8,5.1,111.8,113.6
